Title,manga_id,# number tags,Tags,Review
Affection: Call of the King (Light Novel),30256,11,"['BL', 'Light Novels', 'Yaoi', 'Animal Transformation', 'Kidnapping', 'Supernatural', 'Werewolves', 'Explicit Sex', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",0
After Black (Light Novel),42353,3,"['Action', 'Light Novels', 'Supernatural']",0
"After Receiving the Sacred Item ""Cup"" That Can Only Produce Water, I Decided To Live Freely in Barren Land (Light Novel)",75808,8,"['Fantasy', 'Light Novels', 'Slice of Life', 'Desert', 'Kingdom Building', 'Magic', 'Management', 'Nobility']",0
After-School Dungeon Diver: Level Grinding in Another World (Light Novel),70765,5,"['Action', 'Adventure', 'Fantasy', 'Light Novels', 'Based on a Web Novel']",0
Aftipitos Senki (Light Novel),25796,3,"['Action', 'Fantasy', 'Light Novels']",0
Afumi no Umi: Minamo ga Yureru Toki - Gaidenshuu Rouyuu (Light Novel),80412,5,"['Action', 'Drama', 'Light Novels', 'Feudal Japan', 'Historical']",0
Afumi no Umi: Minamo ga Yureru Toki (Light Novel),35333,7,"['Drama', 'Light Novels', 'Slice of Life', 'Feudal Japan', 'Historical', 'Reincarnation', 'Based on a Web Novel']",0
Afureru Netsu no Limit (Light Novel),54545,3,"['BL', 'Light Novels', 'Yaoi']",0
Again: Watashi to Shinigami no 300-nichi (Light Novel),58831,3,"['Drama', 'Light Novels', 'Supernatural']",0
Agateram wa Soukyuu wo Utsu (Light Novel),52343,3,"['Action', 'Comedy', 'Light Novels']",0
A Gatherer's Adventure in Isekai (Light Novel),24621,8,"['Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Isekai', 'Person in a Strange World', 'Slow Life', 'Based on a Web Novel']",0
Agence-Man: Aruiha Bunkakei Circle no Love Comedy ka wo Kaihi Suru Saeta Yarikata (Light Novel),56077,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
Agent ga Amaeta Sou ni Kimi wo Miteiru. (Light Novel),89245,4,"['Comedy', 'Light Novels', 'Romance', 'Bodyguards']",0
Agents of the Four Seasons (Light Novel),69382,7,"['Drama', 'Fantasy', 'Light Novels', 'Romance', 'Mature Themes', 'Suicide', 'Violence']",0
Agharta Fiesta! (Light Novel),74662,5,"['Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Romance']",0
AGI (Light Novel),44295,5,"['Comedy', 'Light Novels', 'Romance', 'Sci Fi', 'VTubers']",0
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized (Light Novel)",27131,8,"['Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Dragons', 'Non-Human Protagonists', 'Adapted to Anime', 'Based on a Web Novel']",0
Aibiki (Light Novel),13306,7,"['BL', 'Light Novels', 'One Shot', 'Yaoi', 'Childhood Friends', 'Explicit Sex', 'Mature Themes']",1
Ai dake wa Matenai (Light Novel),94473,3,"['BL', 'Light Novels', 'Yaoi']",0
"Ai da Koi da wo Torishimaru Ore ni, Haru ga Yattekita node Chaos (Light Novel)",58857,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
Ai de Kitsuku Shibaritai (Light Novel),88058,3,"['BL', 'Light Novels', 'Yaoi']",0
Ai de Tsutsunde yo (Light Novel),54560,3,"['BL', 'Light Novels', 'Yaoi']",0
Aien no Keiyaku: Oujo wa Ryuu ni Dakareru (Light Novel),49275,2,"['Light Novels', 'Romance']",0
Aigan-hime no Shinya Zangyou (Light Novel),55297,2,"['Light Novels', 'Romance']",0
Aigan: Keiyaku kara Hajimaru Love Romance (Light Novel),50166,2,"['Light Novels', 'Romance']",0
Aigan Koukyuu: Ryuutei to Aoi Hitomi no Kisaki (Light Novel),47139,2,"['Light Novels', 'Romance']",0
Aigan Maid: Ouji to Sugosu Himitsu no Yoru (Light Novel),44389,3,"['Light Novels', 'Romance', 'Maids']",0
Aigan Ouji to Himesama (Light Novel),48733,2,"['Light Novels', 'Romance']",0
Aigan Reijou: Inai Kinbaku Romanesque (Light Novel),50787,5,"['Light Novels', 'Romance', 'Adult Couples', 'Mature Romance', 'Smut']",0
Aigan Reijou: Uruwashi no Bisque Doll (Light Novel),46660,2,"['Light Novels', 'Romance']",0
Ai ga Tomaranai (Light Novel),73773,3,"['BL', 'Light Novels', 'Yaoi']",0
Aigo no Ryuu Kishi no Eiyuutan: Panzer Ryouheidan Senki (Light Novel),83002,6,"['Action', 'Adventure', 'Fantasy', 'Light Novels', 'Monsters', 'Based on a Web Novel']",0
Aihara Soyogi no Nayamigoto: Toki wo Tomeru Nouryokusha ni Douyattara Kateru to Omou? (Light Novel),49198,3,"['Comedy', 'Light Novels', 'Romance']",0
"Ai Igai wa Subete Ageru to, Anata wa Iu (Light Novel)",47900,2,"['Light Novels', 'Romance']",0
Aiin no Daishou: Toraware no Kotori-hime (Light Novel),28247,2,"['Light Novels', 'Romance']",0
Aijin Keiyaku (Light Novel),50648,8,"['Light Novels', 'Romance', 'Adult Couples', 'Debt', 'Mature Romance', 'Social Gap', 'Explicit Sex', 'Smut']",0
Aijou Yuushiten Magokoro (Light Novel),55408,4,"['Drama', 'Light Novels', 'Romance', 'Mysterious Shop']",0
Aikatsu! (Light Novel),82533,4,"['Light Novels', 'Idols', 'Music', 'Based on an Anime']",0
AIKa ZERO: Paradise Blue (Light Novel),46924,4,"['Action', 'Adventure', 'Comedy', 'Light Novels']",0
